基本信息,现价,原价,时间,里程,年份,排量
奔驰A级 2020款 改款2 A 180 L 运动轿车,21.68万,25.27万,2020年,0.4万公里,2020款,1.3T
丰田 皇冠 2015款 2.0T 先锋版,20.20万,28.74万,2017年,3.5万公里,2015款,2.0T
大众 途观 2012款 1.8TSI 自动两驱风尚版,9.50万,25.38万,2013年,7.7万公里,2012款,1.8T
别克GL8 2014款 2.4L 经典版,8.80万,22.69万,2014年,7.3万公里,2014款,2.4L
雷克萨斯CT 2017款 CT200h 舒适版 单色 国VI,21.30万,27.35万,2019年,0.2万公里,2017款,1.8L
福特 嘉年华 2013款 三厢 1.5L 手动风尚型,3.88万,8.67万,2015年,12.0万公里,2013款,1.5L
福特 福克斯 2017款 两厢 1.6L 自动舒适型智行版,6.30万,13.76万,2017年,6.2万公里,2017款,1.6L
本田 飞度 2016款 1.5L LX CVT舒适型,6.83万,8.88万,2017年,4.1万公里,2016款,1.5L
本田XR-V 2017款 1.8L EXi CVT舒适版,12.38万,16.26万,2018年,3.4万公里,2017款,1.8L
MG6 2013款 掀背 1.8L 自动驾值版,4.28万,15.07万,2014年,7.4万公里,2013款,1.8L
雪佛兰 科帕奇 2012款 2.4L 两驱城市版 5座,6.60万,23.86万,2013年,10.1万公里,2012款,2.4L
大众 宝来 2019款 改款 1.5L 自动时尚型 国VI,8.90万,13.24万,2019年,3.3万公里,2019款,1.5L
宝马5系 2014款 520Li 典雅型,23.50万,47.28万,2014年,8.9万公里,2014款,2.0T
哈弗H6 2016款 升级版 1.5T 手动两驱都市型,5.80万,10.29万,2016年,6.2万公里,2016款,1.5T
标致307 2010款 三厢 1.6L 自动舒适版,2.60万,11.48万,2009年,11.5万公里,2010款,1.6L
大众 速腾 2015款 1.6L 自动舒适型,8.00万,16.37万,2016年,8.6万公里,2015款,1.6L
别克 英朗 2016款 15N 自动精英型,6.00万,13.77万,2016年,6.8万公里,2016款,1.5L
大众 桑塔纳 2013款 1.6L 自动舒适版,4.98万,12.35万,2014年,6.5万公里,2013款,1.6L
宝骏730 2014款 1.5L 手动标准型 5座,3.50万,7.03万,2015年,5.2万公里,2014款,1.5L
宝马3系 2018款 320Li M运动曜夜版,24.40万,39.82万,2018年,5.0万公里,2018款,2.0T
大众 朗行 2015款 1.6L 自动风尚版,7.28万,13.56万,2016年,3.0万公里,2015款,1.6L
哈弗H6 2016款 升级版 1.5T 自动两驱精英型,6.20万,12.35万,2016年,6.3万公里,2016款,1.5T
现代 索纳塔八 2011款 2.0L 自动豪华版,5.60万,20.61万,2012年,12.4万公里,2011款,2.0L
大众 朗境 2016款 230TSI DSG豪华版,9.80万,18.66万,2017年,1.6万公里,2016款,1.4T
奔驰GLC级 2017款 GLC 200 4MATIC 轿跑SUV(进口),36.18万,53.84万,2018年,3.2万公里,2017款,2.0T
别克 君威 2015款 2.0L 精英时尚型,9.50万,21.05万,2016年,6.2万公里,2015款,2.0L
福特 福克斯 2015款 两厢 EcoBoost 125 自动超能风尚型,6.48万,15.17万,2015年,8.9万公里,2015款,1.0T
别克 英朗 2015款 15N 自动进取型,5.58万,13.01万,2015年,4.1万公里,2015款,1.5L
大众 朗逸 2011款 1.6L 自动品雅版,4.05万,14.63万,2012年,11.3万公里,2011款,1.6L
凯迪拉克XTS 2015款 28T 舒适型,15.18万,37.98万,2015年,11.4万公里,2015款,2.0T
宝马5系 2011款 523Li 领先型,18.80万,48.80万,2011年,6.0万公里,2011款,2.5L
雪佛兰 科鲁兹 2015款 1.5L 经典 SE AT,5.50万,11.93万,2016年,10.2万公里,2015款,1.5L
奥迪Q5 2013款 40 TFSI 进取型,17.88万,41.64万,2014年,11.3万公里,2013款,2.0T
丰田 YARiS L 致炫 2016款 改款 1.5G CVT炫动天窗版,7.50万,10.40万,2016年,4.3万公里,2016款,1.5L
奔驰E级 2010款 E 200 CGI 优雅型(进口),13.60万,52.97万,2011年,12.0万公里,2010款,1.8T
现代 领动 2016款 1.6L 自动智炫·精英型,8.70万,13.00万,2019年,3.4万公里,2016款,1.6L
长安商用 长安之星2 2012款 1.0L基本型JL466Q9,1.60万,3.68万,2015年,13.2万公里,2012款,1.0L
宝马5系 2013款 525Li 豪华型,19.68万,53.69万,2012年,13.9万公里,2013款,2.0T
雷诺 科雷嘉 2016款 2.0L 两驱领先版,9.50万,18.97万,2017年,6.1万公里,2016款,2.0L
大众 宝来 2015款 质惠版 1.6L 自动时尚型,6.85万,12.68万,2016年,6.2万公里,2015款,1.6L
雪佛兰 迈锐宝 2013款 2.0L 自动舒适版,6.58万,18.44万,2014年,8.5万公里,2013款,2.0L
哈弗H6 2013款 升级版 1.5T 手动两驱精英型,3.90万,12.57万,2013年,7.0万公里,2013款,1.5T
日产 轩逸 2014款 1.6XV CVT尊享版,8.05万,14.96万,2015年,8.8万公里,2014款,1.6L
开瑞K60 2017款 1.5L 自动豪华型,3.88万,8.12万,2018年,1.4万公里,2017款,1.5L
海马S5 2015款 1.6L 手动豪华型天窗版,3.80万,9.31万,2016年,8.3万公里,2015款,1.6L
别克GL6 2019款 18T 6座互联豪华型 国V,11.70万,16.92万,2019年,4.7万公里,2019款,1.3T
本田 享域 2019款 180TURBO CVT乐享版 国VI,9.98万,13.33万,2020年,1.0万公里,2019款,1.0T
本田 凌派 2015款 1.8L 自动豪华版,7.78万,14.63万,2015年,7.8万公里,2015款,1.8L
别克 君越 2009款 2.4L豪雅版,5.50万,27.13万,2010年,6.5万公里,2009款,2.4L
捷豹F-PACE 2019款 2.0T 两驱都市尊享版,31.38万,51.65万,2019年,4.4万公里,2019款,2.0T
斯柯达 晶锐 2015款 1.4L 手动创行版,4.98万,8.67万,2016年,5.6万公里,2015款,1.4L
现代 朗动 2015款 1.6L 自动时尚型,6.18万,12.57万,2015年,3.7万公里,2015款,1.6L
日产 轩逸 2012款 1.6XL CVT豪华版,6.58万,14.65万,2014年,5.8万公里,2012款,1.6L
本田 锋范经典 2011款 1.5L 自动精英品致版,4.00万,12.68万,2011年,13.2万公里,2011款,1.5L
起亚 狮跑 2009款 2.0L 自动两驱版GLS,3.55万,19.95万,2009年,9.6万公里,2009款,2.0L
大众 高尔夫 2016款 1.4TSI 自动R-Line,11.61万,18.66万,2016年,3.8万公里,2016款,1.4T
吉利 远景 2015款 1.5L 手动精英型,3.98万,6.28万,2015年,4.2万公里,2015款,1.5L
雪佛兰 2015款 赛欧3 1.3L AMT理想版,4.38万,7.48万,2016年,3.3万公里,2015款,1.3L
大众 帕萨特 2015款 1.8TSI 自动尊荣版,11.98万,23.42万,2017年,6.6万公里,2015款,1.8T
标致308 2014款 乐享版 经典 1.6L 自动优尚型,5.00万,12.58万,2016年,6.1万公里,2014款,1.6L
大众 速腾 2011款 1.6L 自动特别版,5.20万,16.91万,2012年,7.3万公里,2011款,1.6L
日产 蓝鸟 2016款 1.6L CVT智酷版,8.30万,14.32万,2017年,5.1万公里,2016款,1.6L
荣威360 2017款 1.5L 自动豪华版,5.28万,9.76万,2017年,6.0万公里,2017款,1.5L
别克GL8 2017款 ES 28T 豪华型 国V,33.80万,40.15万,2019年,4.0万公里,2017款,2.0T
福特 福睿斯 2015款 1.5L 自动时尚型,6.85万,13.00万,2017年,5.7万公里,2015款,1.5L
福特 福睿斯 2017款 改款 1.5L 自动舒适型,6.88万,11.70万,2018年,3.8万公里,2017款,1.5L
路虎 发现神行 2018款 240PS PURE版,22.70万,40.68万,2018年,6.5万公里,2018款,2.0T
大众 朗逸 2015款 1.6L 自动风尚版,6.90万,13.23万,2016年,6.6万公里,2015款,1.6L
别克 凯越 2011款 1.6LE-AT,2.58万,12.80万,2011年,13.1万公里,2011款,1.6L
别克 君威 2014款 2.0L 领先时尚型,7.20万,19.42万,2014年,12.1万公里,2014款,2.0L
大众CC 2012款 2.0TSI 至尊型,11.60万,32.87万,2012年,8.9万公里,2012款,2.0T
大众POLO 2013款 1.6L 自动豪华版,4.91万,13.45万,2012年,8.7万公里,2013款,1.6L
别克 威朗 2016款 两厢 15S 自动领先型,7.80万,16.92万,2017年,3.5万公里,2016款,1.5L
福特 福睿斯 2017款 1.5L 自动舒适型,6.38万,11.70万,2017年,9.0万公里,2017款,1.5L
本田 缤智 2015款 1.5L CVT两驱舒适型,9.30万,14.85万,2016年,5.8万公里,2015款,1.5L
别克 凯越 2013款 1.5L 自动经典型,3.70万,11.06万,2013年,5.6万公里,2013款,1.5L
长安CS35 2015款 1.6L 自动豪华型 国IV,4.78万,10.08万,2015年,6.8万公里,2015款,1.6L
雪佛兰 科沃兹 2018款 320 自动欣享版,6.20万,9.65万,2018年,3.5万公里,2018款,1.5L
奔驰B级 2015款 B 200 时尚型(进口),14.28万,30.61万,2015年,5.4万公里,2015款,1.6T
大众 高尔夫 2015款 1.6L 自动舒适型,8.80万,15.73万,2015年,3.6万公里,2015款,1.6L
奔驰C级 2019款 C 260 运动版,28.20万,33.74万,2019年,2.1万公里,2019款,1.5T
大众POLO 2011款 1.4L 自动致酷版,4.35万,12.91万,2011年,7.6万公里,2011款,1.4L
比亚迪 唐 2018款 2.0T 自动智联尊荣型 7座 国V,13.18万,17.36万,2019年,1.1万公里,2018款,2.0T
宝马5系 2014款 520Li 典雅型,20.58万,47.28万,2013年,10.7万公里,2014款,2.0T
大众 宝来 2018款 1.5L 自动时尚型,7.88万,13.00万,2018年,3.1万公里,2018款,1.5L
别克 英朗 2012款 XT 1.6L 自动时尚版,4.50万,16.27万,2012年,5.5万公里,2012款,1.6L
日产 逍客 2016款 2.0L CVT精英版,10.58万,16.59万,2017年,7.2万公里,2016款,2.0L
本田 思域 2009款 1.8L 自动舒适版,4.68万,16.26万,2010年,9.2万公里,2009款,1.8L
马自达 昂克赛拉 2016款 三厢 1.5L 自动舒适型,8.20万,13.67万,2016年,4.9万公里,2016款,1.5L
现代 名图 2017款 1.8L 自动智能型GLS 国V,9.48万,16.26万,2017年,4.1万公里,2017款,1.8L
奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,24.50万,37.22万,2018年,6.0万公里,2018款,2.0T
现代ix35 2015款 2.0L 自动两驱舒适型 国V,9.40万,17.78万,2017年,4.5万公里,2015款,2.0L
宝马5系GT 2014款 528i 领先型(进口),31.68万,74.68万,2014年,4.4万公里,2014款,2.0T
奥迪Q3 2013款 35 TFSI quattro 豪华型,14.98万,43.07万,2015年,4.0万公里,2013款,2.0T
起亚K2 2015款 三厢 1.4L MT GLS,4.50万,8.46万,2016年,4.8万公里,2015款,1.4L
本田XR-V 2015款 1.8L EXi  CVT舒适版,11.48万,16.26万,2017年,7.1万公里,2015款,1.8L
大众 桑塔纳 2018款 1.5L 自动风尚版,6.66万,10.63万,2019年,3.4万公里,2018款,1.5L
启辰T90 2017款 2.0L CVT智尚版,8.58万,14.74万,2017年,6.0万公里,2017款,2.0L
宝马3系 2019款 320Li M运动套装,28.20万,36.88万,2019年,2.5万公里,2019款,2.0T
铃木 雨燕 2014款 1.5L 自动时尚型,4.20万,8.12万,2015年,3.7万公里,2014款,1.5L
福特 福克斯 2012款 三厢 1.6L 自动舒适型,4.50万,14.21万,2012年,9.0万公里,2012款,1.6L
马自达CX-5 2013款 2.0L 自动两驱舒适型,9.60万,19.95万,2014年,7.2万公里,2013款,2.0L
丰田 威驰 2017款 1.5L CVT创行版,6.88万,9.53万,2017年,13.3万公里,2017款,1.5L
大众 途观 2012款 2.0TSI 舒适版(进口),11.00万,39.73万,2013年,13.6万公里,2012款,2.0T
现代 伊兰特 2011款 1.6L 手动舒适型,2.45万,9.75万,2011年,8.1万公里,2011款,1.6L
奔驰C级 2018款 C 200 运动版 4MATIC,29.80万,41.99万,2018年,5.4万公里,2018款,2.0T
宝马X1 2014款 sDrive18i 时尚型,15.30万,30.94万,2015年,6.6万公里,2014款,2.0T
起亚K2 2015款 三厢 1.4L AT GLS,4.70万,9.32万,2015年,7.2万公里,2015款,1.4L
宝马X1 2018款 sDrive18Li 尊享型,19.50万,32.98万,2018年,7.5万公里,2018款,1.5T
宝马5系 2013款 525Li 领先型,24.50万,49.89万,2014年,10.3万公里,2013款,2.0T
马自达 昂克赛拉 2016款 三厢 1.5L 自动舒适型,8.00万,13.67万,2016年,7.7万公里,2016款,1.5L
现代 领动 2016款 1.6L 自动智炫·豪华型,8.58万,14.52万,2018年,5.1万公里,2016款,1.6L
现代 全新胜达 2013款 2.4L 自动两驱智能型,10.30万,27.12万,2015年,10.1万公里,2013款,2.4L
斯柯达 明锐 2010款 1.4TSI DSG逸俊版,4.20万,17.48万,2010年,14.2万公里,2010款,1.4T
现代 索纳塔八 2013款 2.4L 自动领先版 国IV,6.88万,21.70万,2013年,8.1万公里,2013款,2.4L
别克 威朗 2017款 三厢 15S 自动领先型,7.50万,16.81万,2017年,3.3万公里,2017款,1.5L
别克 君越 2016款 改款 28T 精英型,14.80万,,2017年,4.2万公里,2016款,2.0T
丰田 卡罗拉 2014款 1.6L CVT GL-i,7.80万,,2015年,4.9万公里,2014款,1.6L
大众 途铠 2019款 280TSI DSG舒适版,12.00万,16.05万,2019年,0.6万公里,2019款,1.4T
路虎 揽胜极光 2015款 2.0T 五门致享版,22.88万,59.92万,2016年,2.4万公里,2015款,2.0T
宝马3系 2013款 改款 320i运动设计套装(进口),16.61万,,2013年,5.7万公里,2013款,2.0T
三菱 劲炫ASX 2016款 2.0L CVT两驱领航版,8.45万,,2016年,2.0万公里,2016款,2.0L
领克01 2017款 2.0T 四驱劲Pro版,13.67万,,2018年,4.2万公里,2017款,2.0T
长安CS75 2014款 2.0L 手动豪华型 国IV,5.00万,12.79万,2015年,3.4万公里,2014款,2.0L
大众 高尔夫 2015款 1.4TSI 自动舒适型,8.00万,16.81万,2015年,4.6万公里,2015款,1.4T
DS 5 2013款 1.6T 雅致版THP160,6.65万,23.87万,2014年,10.1万公里,2013款,1.6T
福特 福克斯 2018款 两厢经典 1.6L 自动舒适型智行版,8.20万,12.03万,2019年,1.9万公里,2018款,1.6L
本田 飞度 2016款 1.5L LX 手动舒适型,5.79万,,2017年,2.2万公里,2016款,1.5L
日产 逍客 2011款 2.0XL 火 CVT 2WD,5.15万,,2011年,7.2万公里,2011款,2.0L
吉利 博越 2016款 1.8TD 自动智慧型,7.90万,,2017年,2.3万公里,2016款,1.8T
本田 奥德赛 2015款 改款 2.4L 智享版,17.37万,,2016年,10.8万公里,2015款,2.4L
福特 福克斯 2015款 三厢 1.6L 自动舒适型,5.80万,13.55万,2016年,8.0万公里,2015款,1.6L
起亚 智跑 2012款 2.0L 自动两驱版NAVI,7.26万,,2014年,7.8万公里,2012款,2.0L
丰田 卡罗拉 2016款 双擎 1.8L CVT精英版,9.68万,16.26万,2017年,7.0万公里,2016款,1.8L
宝骏310W 2018款 1.5L 自动豪华型 国V,5.00万,7.58万,2018年,1.4万公里,2018款,1.5L
别克GL8 2014款 2.4L CT豪华商务舒适版,14.00万,31.47万,2016年,15.0万公里,2014款,2.4L
别克 君威 2012款 2.0L 豪华版,5.51万,22.13万,2012年,10.5万公里,2012款,2.0L
大众 途观 2016款 330TSI 自动四驱豪华版,15.00万,31.67万,2018年,8.8万公里,2016款,2.0T
大众 速腾 2014款 改款 1.4TSI 自动豪华型,8.00万,18.21万,2015年,5.0万公里,2014款,1.4T
标致2008 2014款 1.6L 自动时尚版,4.30万,13.21万,2015年,6.9万公里,2014款,1.6L
马自达CX-4 2016款 2.0L 自动两驱蓝天活力版,10.59万,,2017年,3.4万公里,2016款,2.0L
大众 高尔夫 2011款 1.4TSI Cross Golf(进口),7.50万,30.75万,2013年,7.5万公里,2011款,1.4T
奔驰B级 2009款 B 200 时尚型(进口),5.58万,34.63万,2011年,11.1万公里,2009款,2.0L
马自达 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,10.50万,15.19万,2018年,1.6万公里,2017款,1.5L
本田 思域 2016款 220TURBO CVT豪华版,11.50万,15.19万,2018年,5.8万公里,2016款,1.5T
宝马2系多功能旅行车 2015款 218i 领先型(进口),13.47万,,2016年,9.0万公里,2015款,1.5T
Jeep 自由光 2017款 2.4L 专业版智能包,13.63万,,2018年,4.4万公里,2017款,2.4L
马自达CX-4 2016款 2.0L 自动两驱蓝天领先版,12.30万,,2017年,3.7万公里,2016款,2.0L
大众 凌渡 2018款 280TSI DSG舒适版,11.50万,20.07万,2017年,2.2万公里,2018款,1.4T
本田 雅阁 2018款 260TURBO 豪华版 国V,16.80万,21.69万,2018年,1.6万公里,2018款,1.5T
起亚K3 2017款 1.6L 自动15周年特别版GLS,7.30万,12.90万,2018年,2.0万公里,2017款,1.6L
大众 帕萨特 2013款 2.0TSI DSG御尊版,9.00万,27.66万,2013年,8.1万公里,2013款,2.0T
吉利 博越 2016款 1.8TD 自动智慧型,7.21万,,2017年,7.6万公里,2016款,1.8T
2018款 奥迪A4L 40TFSI 进取型浙江专享版,21.85万,,2018年,4.6万公里,无,2.0L
三菱 欧蓝德 2018款 2.0L 两驱荣耀版 5座,12.25万,,2018年,4.8万公里,2018款,2.0L
大众 宝来 2013款 1.6L 手动舒适型,4.60万,,2013年,7.9万公里,2013款,1.6L
马自达CX-5 2013款 2.5L 自动四驱豪华型,9.60万,24.94万,2014年,6.6万公里,2013款,2.5L
宝马2系旅行车(进口) 2014款 220i 豪华设计套装(进口),14.50万,,2015年,4.0万公里,2014款,2.0T
雷克萨斯ES 2018款 200 卓越版 国V,27.80万,30.28万,2019年,3.2万公里,2018款,2.0L
吉利 博越 2016款 1.8TD 自动智慧型,6.80万,,2016年,7.7万公里,2016款,1.8T
大众 速腾 2018款 1.6L 自动时尚型,8.98万,15.28万,2019年,5.3万公里,2018款,1.6L
别克 君威 2019款 20T 精英型 国V,11.80万,19.84万,2019年,3.9万公里,2019款,1.5T
丰田 YARiS L 致享 2019款 1.5E CVT魅动版 国VI,7.50万,9.53万,2019年,0.9万公里,2019款,1.5L
沃尔沃S60L 2015款 T5 智驭版,13.00万,37.00万,2015年,5.9万公里,2015款,2.0T
宝马7系 2013款 740Li 领先型(进口),33.68万,132.81万,2013年,7.4万公里,2013款,3.0T
标致508 2012款 2.0L 自动智享版,6.14万,,2014年,6.4万公里,2012款,2.0L
别克 君威 2011款 2.0L 舒适版,4.50万,20.07万,2011年,11.6万公里,2011款,2.0L
日产 轩逸 2012款 经典 1.6XE 手动舒适版,6.00万,10.83万,2016年,4.1万公里,2012款,1.6L
别克GL6 2018款 18T 6座豪华型,9.08万,,2018年,7.7万公里,2018款,1.3T
奥迪A4L 2016款 35 TFSI 典藏版 S line舒适型,18.48万,,2016年,3.9万公里,2016款,2.0T
奥迪A4L 2019款 40 TFSI 运动型 国VI,26.65万,,2019年,1.1万公里,2019款,2.0T
大众 迈腾 2015款 1.8TSI 领先型,12.00万,23.86万,2015年,7.0万公里,2015款,1.8T
马自达CX-5 2017款 2.0L 自动两驱智尚型 国V,12.80万,20.60万,2018年,2.5万公里,2017款,2.0L
奔驰C级 2015款 改款 C 180 L 运动型,18.50万,35.36万,2015年,9.1万公里,2015款,1.6T
江淮 瑞风M3 2019款 宜家版 1.8L 豪华智能型,8.00万,9.31万,2020年,0.3万公里,2019款,1.8L
雷诺 科雷傲 2018款 2.0L 两驱豪华版,12.50万,22.34万,2018年,1.5万公里,2018款,2.0L
丰田 花冠 2013款 1.6L 自动卓越版,5.38万,11.81万,2013年,13.3万公里,2013款,1.6L
沃尔沃V40 2015款 1.6T 智逸版(进口),11.00万,28.86万,2015年,6.3万公里,2015款,1.6T
别克 君威 2015款 1.6T 精英技术型,8.00万,22.78万,2015年,6.0万公里,2015款,1.6T
宝马5系 2014款 525Li 领先型,28.60万,50.65万,2016年,4.2万公里,2014款,2.0T
三菱 劲炫ASX 2013款 2.0L CVT两驱精英版,6.85万,,2015年,4.3万公里,2013款,2.0L
福特 福克斯 2017款 两厢 EcoBoost 125 自动超能风尚型智行版,7.20万,15.39万,2017年,2.7万公里,2017款,1.0T
别克 君威 2017款 20T 精英型,12.00万,20.17万,2018年,6.5万公里,2017款,1.5T
奥迪Q5 2016款 40 TFSI 舒适型,23.66万,,2016年,5.9万公里,2016款,2.0T
日产 逍客 2015款 2.0XL 酷火 CVT 2WD,8.31万,,2015年,3.2万公里,2015款,2.0L
宝马5系 2014款 525Li 豪华设计套装,30.00万,54.23万,2015年,4.9万公里,2014款,2.0T
宝马3系 2015款 320Li 超悦版豪华设计套装,19.05万,,2015年,9.7万公里,2015款,2.0T
大众CC 2019款 330TSI 魅颜版 国V,19.80万,28.53万,2019年,2.3万公里,2019款,2.0T
捷豹XE 2015款 2.0T 200PS R-Sport,18.56万,,2016年,4.3万公里,2015款,2.0T
雪铁龙 天逸 C5 AIRCROSS 2020款 360THP 悦享型,13.55万,19.61万,2020年,0.4万公里,2020款,1.6T
日产 蓝鸟 2016款 1.6L CVT智酷版,8.50万,14.32万,2016年,6.1万公里,2016款,1.6L
大众 朗行 2014款 1.4TSI 自动30周年纪念版,7.20万,,2014年,4.2万公里,2014款,1.4T
大众 帕萨特 2017款 330TSI DSG御尊版,14.50万,26.47万,2017年,4.9万公里,2017款,1.8T
吉利 博越 2018款 1.8TD 自动两驱智慧型4G互联版,8.48万,,2018年,1.2万公里,2018款,1.8T
大众 朗逸 2013款 改款 1.4TSI DSG舒适版,6.08万,,2013年,8.5万公里,2013款,1.4T
福特 福克斯 2015款 两厢 EcoBoost 180 自动运动型,7.33万,,2015年,6.6万公里,2015款,1.5T
奔驰C级 2019款 改款 C 260 L 运动版,29.00万,37.64万,2019年,2.0万公里,2019款,1.5T
英菲尼迪Q50 2014款 2.0T 豪华版(进口),15.68万,40.14万,2015年,5.2万公里,2014款,2.0T
马自达 阿特兹 2018款 2.0L 蓝天豪华版 国V,12.00万,20.60万,2017年,7.6万公里,2018款,2.0L
福特 福克斯 2012款 两厢 1.6L 自动舒适型,5.00万,14.21万,2014年,10.0万公里,2012款,1.6L
荣威RX5 2016款 20T 两驱自动互联网智享版,7.99万,,2017年,5.8万公里,2016款,1.5T
现代 领动 2016款 1.6L 自动智炫·精英型,6.90万,13.00万,2016年,3.4万公里,2016款,1.6L
马自达 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,8.30万,15.19万,2018年,3.4万公里,2017款,1.5L
奥迪Q5 2015款 40 TFSI 技术型,20.99万,46.85万,2015年,10.8万公里,2015款,2.0T
现代ix35 2013款 2.0L 自动两驱智能型GLS 国IV,8.67万,21.36万,2015年,5.7万公里,2013款,2.0L
大众 朗逸 2013款 1.6L 手动风尚版,4.38万,12.25万,2013年,13.3万公里,2013款,1.6L
日产 逍客 2016款 2.0L CVT豪华版,10.80万,18.21万,2016年,5.4万公里,2016款,2.0L
起亚K5 2012款 2.0L 自动GLS,6.98万,19.41万,2013年,8.3万公里,2012款,2.0L
哈弗H2 2014款 1.5T 手动两驱精英版,4.80万,11.27万,2015年,2.8万公里,2014款,1.5T
别克 君威 2015款 2.0L 领先时尚型,8.88万,19.42万,2017年,10.4万公里,2015款,2.0L
日产 逍客 2012款 2.0XL 火 CVT 2WD,6.90万,17.89万,2013年,6.9万公里,2012款,2.0L
别克 凯越 2008款 1.6LE-AT,2.48万,12.80万,2009年,7.6万公里,2008款,1.6L
丰田 雷凌 2014款 1.6G CVT精英版,7.38万,13.55万,2015年,9.2万公里,2014款,1.6L
东风风行 景逸X5 2016款 1.6L 手动尊享型,4.28万,9.43万,2017年,4.6万公里,2016款,1.6L
丰田 凯美瑞 2016款 2.5G 十周年纪念豪华导航版,16.50万,23.86万,2017年,4.8万公里,2016款,2.5L
大众 高尔夫·嘉旅 2016款 230TSI 自动豪华型,10.38万,19.53万,2016年,4.5万公里,2016款,1.4T
福特 蒙迪欧 2013款 2.0L GTDi200时尚型,11.00万,22.01万,2016年,13.4万公里,2013款,2.0T
